scenario,alternative,mc_mean,q2.5,q97.5,exact_posterior
Nominal,Pump Failure,0.00683232955549892,0.0003938812488215925,0.027346884194276583,0.007089999999999999
Nominal,Turbine Failure,0.007004624041193279,0.0004885405080391431,0.029590569322899638,0.00709
Nominal,Sensor Anomaly,0.0005695379760945313,2.537539280252708e-43,0.0038630876648558,0.0004999999999999999
Nominal,Valve Stuck,0.000790572733462888,6.511607678706318e-35,0.008429483507622711,0.0008450000000000002
Vibration,Pump Failure,0.01131495488493521,0.0003709466580389766,0.04666009847720338,0.011699504249291785
Vibration,Turbine Failure,0.015397168247952073,0.000858235440702268,0.05840513066896305,0.015601576292559899
Vibration,Sensor Anomaly,0.00041249849150494045,2.1983942846146178e-42,0.0037191346974825494,0.0004999999999999999
Vibration,Valve Stuck,0.0006982074415248739,5.376126838292019e-34,0.00762826625843355,0.0008450000000000002
High T+M,Pump Failure,0.04905010145983588,0.0015863394275477615,0.20417661596969108,0.04860123919394822
High T+M,Turbine Failure,0.044214748228731664,0.0017569044068737212,0.18633768984210186,0.04409934925291705
High T+M,Sensor Anomaly,0.0012350170474479335,1.1801336712012271e-50,0.01048605953543483,0.001400010999890001
High T+M,Valve Stuck,0.002325324798378587,3.105640676450774e-72,0.022100975536003646,0.002300469414973331
