problem,n,m,nu,delta_w,n_flagged,tau_norm_only,ident_norm_only,tau_aggr_only,ident_aggr_only,tau_both,ident_both
0,8,5,15.806549011492635,0.29515493342567767,6,0.5714285714285714,0,0.5714285714285714,0,0.4999999999999999,0
1,6,3,2.984273117845896,0.24015162534603757,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
2,5,4,4.2004994743601305,0.16774967945310243,2,0.6,0,0.6,0,0.6,0
3,6,5,4.115524761985364,0.11094766549627529,1,0.8666666666666666,0,0.9999999999999999,1,0.8666666666666666,0
4,4,4,6.355267787367254,0.06398264928453848,0,1.0,1,1.0,1,1.0,1
5,8,4,3.4927136631704565,0.08584041431246281,0,0.9999999999999998,1,0.9999999999999998,1,0.9999999999999998,1
6,8,5,56.63892156488892,0.34662942030104316,9,0.3571428571428571,0,0.9999999999999998,1,0.42857142857142855,0
7,10,4,3.900828947262121,0.22555343285351198,3,0.8666666666666666,0,0.911111111111111,0,0.8666666666666666,0
8,4,3,1.9215345978902545,0.05287322157792573,1,0.6666666666666669,0,0.6666666666666669,0,0.6666666666666669,0
9,5,4,1.3388977687894712,0.0164298939975901,0,0.9999999999999999,1,0.7999999999999999,0,0.7999999999999999,0
10,8,4,6.076967979258471,0.14576450901469454,0,0.9999999999999998,1,0.9999999999999998,1,0.9999999999999998,1
11,5,4,46.16865297843691,0.25499002779908003,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
12,5,3,4.586703739199875,0.17582962404420957,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
13,4,4,2.8180652835764586,0.09338481607199735,0,1.0,1,1.0,1,1.0,1
14,10,5,1.877282749626022,0.11563413808800607,3,0.8666666666666666,0,0.8222222222222221,0,0.8222222222222221,0
15,4,5,3.451147153902663,0.16428516359312367,1,0.6666666666666669,0,0.6666666666666669,0,0.6666666666666669,0
16,8,3,1.048616400512314,0.006559145652176052,0,0.9999999999999998,1,0.9999999999999998,1,0.9999999999999998,1
17,5,5,304.8833202795418,0.4563957535919402,4,0.19999999999999998,0,0.6,0,0.19999999999999998,0
18,6,5,2.8147249381019197,0.07666860322910528,1,0.8666666666666666,0,0.8666666666666666,0,0.7333333333333333,0
19,4,4,32.136512807974775,0.11640147559713784,1,0.6666666666666669,0,1.0,1,0.6666666666666669,0
20,5,3,162.08604609417884,0.1918634796221721,1,0.7999999999999999,0,0.9999999999999999,1,0.7999999999999999,0
21,5,4,13.0764217433122,0.47226769572340854,7,-0.39999999999999997,0,0.9999999999999999,1,-0.6,0
22,8,4,1.5937844439622921,0.033423030052333866,1,0.9285714285714285,0,0.8571428571428571,0,0.8571428571428571,0
23,6,5,29.970315089237804,0.42681027643053293,7,0.06666666666666665,0,0.8666666666666666,0,0.06666666666666665,0
24,10,5,17.02817525373384,0.27157908455078633,14,0.37777777777777777,0,0.8666666666666666,0,0.37777777777777777,0
25,5,4,1.910956055626482,0.07474137629293813,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
26,5,5,29.246883076355925,0.41587303989247176,5,0.0,0,0.9999999999999999,1,-0.19999999999999998,0
27,5,4,15.510504813742088,0.4812240788329564,3,0.39999999999999997,0,0.7999999999999999,0,0.39999999999999997,0
28,6,3,1.8343390332654042,0.022322169936849698,2,0.7333333333333333,0,0.7333333333333333,0,0.7333333333333333,0
29,4,3,4.586192122840009,0.023304400485744975,1,0.6666666666666669,0,1.0,1,1.0,1
30,4,4,14.464754814754142,0.17463097845387093,1,0.6666666666666669,0,1.0,1,0.6666666666666669,0
31,5,5,4.744273955903491,0.21657488975961514,0,0.9999999999999999,1,0.7999999999999999,0,0.7999999999999999,0
32,8,3,1.6889276154497463,0.052289469551057705,2,0.8571428571428571,0,0.8571428571428571,0,0.8571428571428571,0
33,10,4,9.843839629652894,0.03360368318913405,1,0.9555555555555554,0,0.9999999999999999,1,0.9999999999999999,1
34,8,5,5.758500096378478,0.19886995988032344,0,0.9999999999999998,1,0.9285714285714285,0,0.9285714285714285,0
35,10,4,2.4793239737965744,0.07581535268673883,5,0.7777777777777777,0,0.6888888888888888,0,0.6444444444444444,0
36,8,3,1.4294588733355202,0.014262343475865559,1,0.9285714285714285,0,0.9285714285714285,0,0.9285714285714285,0
37,6,3,1.6709831902614063,0.10500667396632463,1,0.8666666666666666,0,0.8666666666666666,0,0.7333333333333333,0
38,8,3,5.23129978180768,0.32651617362946384,5,0.6428571428571428,0,0.9285714285714285,0,0.6428571428571428,0
39,6,4,5.456482869449911,0.1744462084357275,2,0.7333333333333333,0,0.9999999999999999,1,0.7333333333333333,0
40,6,4,7.773661887223566,0.11167930193722012,0,0.9999999999999999,1,0.8666666666666666,0,0.8666666666666666,0
41,4,4,1.7774812931760728,0.03440333868984934,0,1.0,1,1.0,1,1.0,1
42,5,3,2.541313655286011,0.11259149888809142,1,0.7999999999999999,0,0.9999999999999999,1,0.7999999999999999,0
43,4,4,4.313808221233194,0.21073427313930398,1,0.6666666666666669,0,1.0,1,0.6666666666666669,0
44,6,4,3.8869279328819513,0.26718379249881474,2,0.7333333333333333,0,0.8666666666666666,0,0.6,0
45,10,5,47.543015436513826,0.36641428813835397,10,0.5555555555555555,0,0.7777777777777777,0,0.5111111111111111,0
46,4,5,13.232115659751043,0.21695174226273609,0,1.0,1,1.0,1,1.0,1
47,8,4,1.343469152200733,0.0512925988297554,0,0.9999999999999998,1,0.8571428571428571,0,0.8571428571428571,0
48,5,4,25.570427824067828,0.281244253106947,1,0.7999999999999999,0,0.9999999999999999,1,0.9999999999999999,1
49,8,5,6.476930608562029,0.34641202518708714,1,0.9285714285714285,0,0.9999999999999998,1,0.8571428571428571,0
50,8,5,7.763069088581738,0.38749369291928115,7,0.4999999999999999,0,0.7857142857142856,0,0.5714285714285714,0
51,4,4,10.140249733852645,0.08681732608838391,3,0.0,0,0.3333333333333334,0,0.0,0
52,4,4,4.187474956780427,0.19895474700180668,0,1.0,1,1.0,1,1.0,1
53,10,3,19.2246674234584,0.1521376753026217,7,0.6888888888888888,0,0.8222222222222221,0,0.6444444444444444,0
54,4,5,32.39490642114959,0.2561241783542154,2,0.3333333333333334,0,0.3333333333333334,0,0.3333333333333334,0
55,6,3,1.184949760791543,0.04122123145354806,1,0.8666666666666666,0,0.9999999999999999,1,0.8666666666666666,0
56,10,5,3.1574807824122746,0.1567544758949373,3,0.8666666666666666,0,0.9999999999999999,1,0.7777777777777777,0
57,4,3,16.73633912147933,0.4690837947242793,3,0.0,0,0.6666666666666669,0,0.0,0
58,8,4,5.455178176943027,0.3443019338424521,4,0.7142857142857142,0,0.8571428571428571,0,0.5714285714285714,0
59,5,3,27.377755017655755,0.1829343924984843,1,0.7999999999999999,0,0.9999999999999999,1,0.7999999999999999,0
60,5,3,4.305772377244929,0.1393818123637149,0,0.9999999999999999,1,0.7999999999999999,0,0.7999999999999999,0
61,6,4,187.48178476946416,0.0654715129426183,1,0.8666666666666666,0,0.9999999999999999,1,0.8666666666666666,0
62,4,3,3.134584889705856,0.08233575902155674,0,1.0,1,1.0,1,1.0,1
63,4,4,1.6784518775218884,0.08368828730638514,1,0.6666666666666669,0,1.0,1,1.0,1
64,6,5,22.123160589603525,0.4265005374125514,1,0.8666666666666666,0,0.9999999999999999,1,0.8666666666666666,0
65,4,3,7.179810971005895,0.34185029875793277,1,0.6666666666666669,0,1.0,1,0.6666666666666669,0
66,10,5,3.198736149108423,0.26439208587338847,10,0.5555555555555555,0,0.8666666666666666,0,0.37777777777777777,0
67,10,3,4.414581637674105,0.2564829694574086,6,0.7333333333333333,0,0.8666666666666666,0,0.911111111111111,0
68,8,3,3.1021761107992716,0.028673252472365608,0,0.9999999999999998,1,0.9999999999999998,1,0.9285714285714285,0
69,10,4,5.921844565656568,0.20709874237065679,4,0.8222222222222221,0,0.9555555555555554,0,0.7333333333333333,0
70,4,4,4.290536517275161,0.2263119505253121,0,1.0,1,1.0,1,1.0,1
71,5,5,10.586089636783802,0.28518161467497294,0,0.9999999999999999,1,0.7999999999999999,0,0.9999999999999999,1
72,5,4,2.2951165684188313,0.1361942027500061,2,0.6,0,0.9999999999999999,1,0.6,0
73,8,3,11.272962300029526,0.23117956675556756,3,0.7857142857142856,0,0.9285714285714285,0,0.7857142857142856,0
74,8,5,38.646227473663,0.15799277608965,1,0.9285714285714285,0,0.7857142857142856,0,0.7857142857142856,0
75,8,5,12.525541314700424,0.3835226315425674,10,0.2857142857142857,0,0.7857142857142856,0,0.21428571428571427,0
76,8,3,38.51093805865546,0.5815811333289109,14,0.0,0,0.8571428571428571,0,0.07142857142857142,0
77,6,5,2.660302837808365,0.11364730508624882,2,0.7333333333333333,0,0.7333333333333333,0,0.6,0
78,6,4,1.2710470874609099,0.044995125957816746,1,0.8666666666666666,0,0.8666666666666666,0,0.8666666666666666,0
79,6,4,25.364845200798698,0.1344222693646829,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
80,8,4,1.5622421030325697,0.06233851364686645,3,0.7857142857142856,0,0.7857142857142856,0,0.7857142857142856,0
81,8,3,3.3322753680245967,0.2786606014804137,2,0.8571428571428571,0,0.9285714285714285,0,0.7142857142857142,0
82,8,4,10.461177649187835,0.13292392394041452,0,0.9999999999999998,1,0.9999999999999998,1,0.9999999999999998,1
83,5,3,2.535546428235169,0.1653798373562072,1,0.7999999999999999,0,0.9999999999999999,1,0.6,0
84,5,4,3.5471031170292675,0.21686613023170748,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
85,4,5,11.721468279772974,0.1308591447663226,0,1.0,1,1.0,1,1.0,1
86,10,4,3.7061501594975095,0.04137729165250843,1,0.9555555555555554,0,0.7333333333333333,0,0.6888888888888888,0
87,10,5,7.040209104111341,0.24349748067992286,1,0.9555555555555554,0,0.9999999999999999,1,0.8222222222222221,0
88,6,3,1.6986024633714603,0.052994727450399154,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
89,4,5,3.717932310933744,0.15109704241438043,1,0.6666666666666669,0,1.0,1,0.6666666666666669,0
90,8,5,17.587104174186237,0.30284933777675527,6,0.5714285714285714,0,0.7857142857142856,0,0.5714285714285714,0
91,5,3,39.59995868450115,0.48230648663946973,4,0.19999999999999998,0,0.6,0,0.19999999999999998,0
92,8,3,7.818559837341038,0.3356638799057455,3,0.7857142857142856,0,0.9999999999999998,1,0.7857142857142856,0
93,5,4,1.9763683995854235,0.08410489261936328,0,0.9999999999999999,1,0.9999999999999999,1,0.9999999999999999,1
94,10,3,2.0076150878537193,0.16969107593552096,1,0.9555555555555554,0,0.911111111111111,0,0.7333333333333333,0
95,10,5,2.3942359454808146,0.0920711694526763,4,0.8222222222222221,0,0.911111111111111,0,0.9555555555555554,0
96,6,5,115.50188640757132,0.26026845044981195,3,0.6,0,0.9999999999999999,1,0.6,0
97,8,5,6.268033457757243,0.2790025315326703,3,0.7857142857142856,0,0.8571428571428571,0,0.6428571428571428,0
